X1,WT_ratio_1,WT_ratio_2,WT_ratio_3,rrp6_ratio_1,rrp6_ratio_2,rrp6_ratio_3,upf1_ratio_1,upf1_ratio_2,upf1_ratio_3,u_r_ratio_1,u_r_ratio_2,u_r_ratio_3,WT_vs_rrp6_pval,WT_vs_upf1_pval,WT_vs_u_r_pval
YPL143W_intron,0.015300923,0.013734107,0.015593895,0.017398385,0.016818946,0.017446927,0.01777566,0.018626641,0.018930424,0.027015402,0.027895308,0.027476311,0.024824082,0.037141914,0.003907581
YPL175W_intron,0.076769691,0.048249763,0.069672131,0.111111111,0.072599532,0.094007051,0.181818182,0.172428884,0.1775,0.172694027,0.189310689,0.198473282,0.014195997,0.002809564,0.011994831
YPL198W_intron,0.067484144,0.051593078,0.075960335,0.428960183,0.44762419,0.458480047,0.181241873,0.172992206,0.171741012,0.516494892,0.547326609,0.554611074,0.000699236,0.004704871,0.000826536
YPL218W_intron,0.007011394,0.007774648,0.007102444,0.008777676,0.00934252,0.008382643,0.021517413,0.02173913,0.023446086,0.039426523,0.044806008,0.046327412,0.008311402,0.002314918,0.003055312
YPL241C_intron,0.108433735,0.105463787,0.07082153,0.085972851,0.086084906,0.081967213,0.223684211,0.22761849,0.223194748,0.238788808,0.231324278,0.22630719,0.440794753,0.007609767,0.004481252
YPL249C-A_intron,0.012614801,0.014992909,0.013807715,0.01549434,0.015673707,0.015350087,0.019234559,0.018041428,0.018720637,0.023822194,0.022422153,0.023202739,0.117099334,0.042190238,0.013359464
YPR010C-A_intron,0.074468085,0.044,0.035587189,0.080065359,0.075931232,0.090301003,0.067547724,0.082901554,0.058236273,0.140035907,0.102396514,0.113207547,0.162595445,0.307456411,0.006895268
YPR028W_intron,0.023051592,0.022732982,0.018852459,0.022953415,0.025451317,0.020657071,0.024036425,0.023077741,0.026979408,0.032639546,0.032664942,0.027609365,0.217398017,0.333663165,0.001366499
YPR043W_intron,0.019063925,0.018206713,0.017763524,0.019929728,0.018514796,0.018514319,0.032649403,0.029645876,0.030851043,0.039325227,0.03759585,0.041561241,0.06359786,0.002596227,0.004037165
YPR063C_intron,0.009948652,0.010152284,0.012043925,0.018853103,0.016532103,0.013495864,0.025076245,0.015191546,0.01759134,0.033860759,0.039533133,0.039020929,0.125540724,0.120609124,0.003479913
YPR098C_intron,0.035087719,0.047012733,0.0418483,0.084832905,0.085171103,0.092216582,0.046945338,0.042084168,0.052463212,0.137727081,0.128164557,0.127783156,0.007338348,0.392032003,0.00520722
YPR132W_intron,0.021012527,0.023232886,0.022832946,0.027250916,0.025345572,0.027450129,0.036723283,0.03567226,0.040359414,0.064960996,0.069021395,0.063633412,0.069168301,0.009421854,0.001118314
YPR153W_intron,0.189189189,0.262210797,0.295,0.43902439,0.317073171,0.363221885,0.20856202,0.187012987,0.220183486,0.305164319,0.275630252,0.2996633,0.186697698,0.300517566,0.337581186
YPR170W-B_intron,0.079051383,0.078952327,0.085844568,0.078417136,0.087358185,0.08281649,0.083452324,0.078608861,0.083263668,0.085686866,0.087871287,0.096809233,0.694245444,0.833282301,0.019426348
YPR187W_intron,0.027260813,0.025180346,0.026384017,0.025803967,0.029676259,0.028525512,0.043510991,0.037473752,0.042780749,0.064809441,0.060463122,0.074879227,0.423544778,0.007953773,0.010021473
YPR202W_intron,0.644970414,0.691919192,0.716494845,0.731578947,0.652173913,0.632530121,0.696629214,0.713103448,0.663028649,0.720647773,0.720221607,0.715736041,0.831343711,0.855284157,0.262443818
